id,cidade,id_estado,sigla,estado,latitude,longitude,gps,populacao
1500404,ALENQUER,15,PA,PARA,-1.9462290,-54.7383550,"-1.946229,-54.738355",56789
1500503,ALMEIRIM,15,PA,PARA,-1.5290377,-52.5788111,"-1.5290377,-52.5788111",34109
1500602,ALTAMIRA,15,PA,PARA,-3.2040650,-52.2099610,"-3.204065,-52.209961",114594
1500701,ANAJAS,15,PA,PARA,-0.9878802,-49.9390114,"-0.9878802,-49.9390114",29277
1500800,ANANINDEUA,15,PA,PARA,-1.3740350,-48.4016623,"-1.374035,-48.4016623",530598
1500859,ANAPU,15,PA,PARA,-3.4668292,-51.2057035,"-3.4668292,-51.2057035",27890
1500909,AUGUSTO CORREA,15,PA,PARA,-1.0229335,-46.6404029,"-1.0229335,-46.6404029",45998
1500958,AURORA DO PARA,15,PA,PARA,-2.1323199,-47.5584360,"-2.1323199,-47.558436",31338
1501006,AVEIRO,15,PA,PARA,-3.6049239,-55.3310742,"-3.6049239,-55.3310742",16388
1501105,BAGRE,15,PA,PARA,-1.8994498,-50.2103844,"-1.8994498,-50.2103844",30673
1501204,BAIAO,15,PA,PARA,-2.7903479,-49.6702845,"-2.7903479,-49.6702845",47446
1501253,BANNACH,15,PA,PARA,-7.3508505,-50.4064531,"-7.3508505,-50.4064531",3286
1501303,BARCARENA,15,PA,PARA,-1.5107945,-48.6190679,"-1.5107945,-48.6190679",124680
1501402,BELEM,15,PA,PARA,-4.9041167,-49.3631967,"-4.9041167,-49.3631967",1492745
1501451,BELTERRA,15,PA,PARA,-2.6360910,-54.9373920,"-2.636091,-54.937392",17732
1501501,BENEVIDES,15,PA,PARA,-2.0269350,-47.7559317,"-2.026935,-47.7559317",62737
1501576,BOM JESUS DO TOCANTINS,15,PA,PARA,-5.0471796,-48.5978362,"-5.0471796,-48.5978362",16981
1501600,BONITO,15,PA,PARA,-1.3605722,-47.3049907,"-1.3605722,-47.3049907",16286
1501709,BRAGANCA,15,PA,PARA,-1.0573967,-46.7635406,"-1.0573967,-46.7635406",127686
1501725,BRASIL NOVO,15,PA,PARA,-3.3055853,-52.5391980,"-3.3055853,-52.539198",15086
1501758,BREJO GRANDE DO ARAGUAIA,15,PA,PARA,-5.7011449,-48.4037308,"-5.7011449,-48.4037308",7380
1501782,BREU BRANCO,15,PA,PARA,-3.7785073,-49.5684795,"-3.7785073,-49.5684795",66046
1501808,BREVES,15,PA,PARA,-1.6803600,-50.4790850,"-1.68036,-50.479085",102701
1501907,BUJARU,15,PA,PARA,-1.7923550,-48.0499717,"-1.792355,-48.0499717",29132
1501956,CACHOEIRA DO PIRIA,15,PA,PARA,-1.7599443,-46.5446954,"-1.7599443,-46.5446954",33900
1502004,CACHOEIRA DO ARARI,15,PA,PARA,-1.0143572,-48.9621089,"-1.0143572,-48.9621089",23767
1502103,CAMETA,15,PA,PARA,-2.2429490,-49.4978850,"-2.242949,-49.497885",137890
1502152,CANAA DOS CARAJAS,15,PA,PARA,-6.5296837,-49.8516592,"-6.5296837,-49.8516592",37085
1502202,CAPANEMA,15,PA,PARA,-1.1933054,-47.1828679,"-1.1933054,-47.1828679",69027
1502301,CAPITAO POCO,15,PA,PARA,-1.7447162,-47.0638495,"-1.7447162,-47.0638495",54303
1502400,CASTANHAL,15,PA,PARA,-1.9513852,-49.4278722,"-1.9513852,-49.4278722",200793
1502509,CHAVES,15,PA,PARA,-0.1641540,-49.9870060,"-0.164154,-49.987006",23717
1502608,COLARES,15,PA,PARA,-0.9364230,-48.2802540,"-0.936423,-48.280254",12085
1502707,CONCEICAO DO ARAGUAIA,15,PA,PARA,-8.2696905,-49.2676864,"-8.2696905,-49.2676864",47864
1502756,CONCORDIA DO PARA,15,PA,PARA,-1.9924056,-47.9450474,"-1.9924056,-47.9450474",33318
1502764,CUMARU DO NORTE,15,PA,PARA,-7.8122669,-50.7677675,"-7.8122669,-50.7677675",13473
1502772,CURIONOPOLIS,15,PA,PARA,-6.0990443,-49.6059039,"-6.0990443,-49.6059039",17929
1502806,CURRALINHO,15,PA,PARA,-1.8137876,-49.7980165,"-1.8137876,-49.7980165",34448
1502855,CURUA,15,PA,PARA,-5.6168220,-55.7936250,"-5.616822,-55.793625",14393
1502905,CURUCA,15,PA,PARA,-0.7276792,-47.8565680,"-0.7276792,-47.856568",40066
1502939,DOM ELISEU,15,PA,PARA,-4.2928111,-47.5559083,"-4.2928111,-47.5559083",59719
1502954,ELDORADO DO CARAJAS,15,PA,PARA,-6.1029246,-49.3572487,"-6.1029246,-49.3572487",33808
1503002,FARO,15,PA,PARA,-2.1737325,-56.7461191,"-2.1737325,-56.7461191",7194
1503044,FLORESTA DO ARAGUAIA,15,PA,PARA,-7.5597065,-49.7032829,"-7.5597065,-49.7032829",20304
1503077,GARRAFAO DO NORTE,15,PA,PARA,-1.9282256,-47.0513157,"-1.9282256,-47.0513157",26066
1503093,GOIANESIA DO PARA,15,PA,PARA,-3.8380998,-49.0977992,"-3.8380998,-49.0977992",40475
1503101,GURUPA,15,PA,PARA,-1.1521167,-48.7985767,"-1.1521167,-48.7985767",33376
1503200,IGARAPE-ACU,15,PA,PARA,-3.7555017,-55.5406000,"-3.7555017,-55.5406",38807
1503309,IGARAPE-MIRI,15,PA,PARA,-1.9785213,-48.9634826,"-1.9785213,-48.9634826",62698
1503408,INHANGAPI,15,PA,PARA,-1.3211387,-47.6754927,"-1.3211387,-47.6754927",11711
1503457,IPIXUNA DO PARA,15,PA,PARA,-2.5592139,-47.4965462,"-2.5592139,-47.4965462",64053
1503507,IRITUIA,15,PA,PARA,-1.7709543,-47.4399687,"-1.7709543,-47.4399687",32550
1503606,ITAITUBA,15,PA,PARA,-4.2625218,-55.9878139,"-4.2625218,-55.9878139",101247
1503705,ITUPIRANGA,15,PA,PARA,-5.1337224,-49.3321988,"-5.1337224,-49.3321988",53269
1503754,JACAREACANGA,15,PA,PARA,-6.2196518,-57.7586250,"-6.2196518,-57.758625",8239 (5)
1503804,JACUNDA,15,PA,PARA,-4.4461730,-49.1152720,"-4.446173,-49.115272",59155
1503903,JURUTI,15,PA,PARA,-2.1571381,-56.0900977,"-2.1571381,-56.0900977",57943
1504000,LIMOEIRO DO AJURU,15,PA,PARA,-1.8958813,-49.3828438,"-1.8958813,-49.3828438",28935
1504059,MAE DO RIO,15,PA,PARA,-2.0458692,-47.5522076,"-2.0458692,-47.5522076",30077
1504109,MAGALHAES BARATA,15,PA,PARA,-0.7943378,-47.5984382,"-0.7943378,-47.5984382",8548
1504208,MARABA,15,PA,PARA,-5.3462821,-49.1007401,"-5.3462821,-49.1007401",279349
1504307,MARACANA,15,PA,PARA,-0.7666582,-47.4537818,"-0.7666582,-47.4537818",29473
1504406,MARAPANIM,15,PA,PARA,-0.7134493,-47.6985381,"-0.7134493,-47.6985381",28336
1504422,MARITUBA,15,PA,PARA,-1.3595306,-48.3361504,"-1.3595306,-48.3361504",131521
1504455,MEDICILANDIA,15,PA,PARA,-3.4438388,-52.8889236,"-3.4438388,-52.8889236",31597
1504505,MELGACO,15,PA,PARA,-1.8032020,-50.7149270,"-1.803202,-50.714927",27654
1504604,MOCAJUBA,15,PA,PARA,-2.5830980,-49.5042240,"-2.583098,-49.504224",31136
1504703,MOJU,15,PA,PARA,-1.8899260,-48.7667650,"-1.889926,-48.766765",82094
1504752,MOJUI DOS CAMPOS,15,PA,PARA,-2.6821670,-54.6427170,"-2.682167,-54.642717",16084
1504802,MONTE ALEGRE,15,PA,PARA,-4.2236567,-55.1146700,"-4.2236567,-55.11467",58032
1504901,MUANA,15,PA,PARA,-1.5317443,-49.2223565,"-1.5317443,-49.2223565",40349
1504950,NOVA ESPERANCA DO PIRIA,15,PA,PARA,-2.2663093,-46.9661622,"-2.2663093,-46.9661622",21368
1504976,NOVA IPIXUNA,15,PA,PARA,-4.9162210,-49.0821940,"-4.916221,-49.082194",16678
1505007,NOVA TIMBOTEUA,15,PA,PARA,-1.2052428,-47.3935775,"-1.2052428,-47.3935775",15363
1505031,NOVO PROGRESSO,15,PA,PARA,-7.0374884,-55.4185904,"-7.0374884,-55.4185904",25762
1505064,NOVO REPARTIMENTO,15,PA,PARA,-4.2519172,-49.9524257,"-4.2519172,-49.9524257",75919
1505106,OBIDOS,15,PA,PARA,-1.9010720,-55.5208120,"-1.901072,-55.520812",52137
1505205,OEIRAS DO PARA,15,PA,PARA,-2.0040813,-49.8596065,"-2.0040813,-49.8596065",32512
1505304,ORIXIMINA,15,PA,PARA,-1.7669992,-55.8682850,"-1.7669992,-55.868285",73096
1505403,OUREM,15,PA,PARA,-1.5489964,-47.1174572,"-1.5489964,-47.1174572",17842
1505437,OURILANDIA DO NORTE,15,PA,PARA,-6.7489750,-51.0788476,"-6.748975,-51.0788476",32832
1505486,PACAJA,15,PA,PARA,-2.2052417,-49.4779867,"-2.2052417,-49.4779867",47706
1505494,PALESTINA DO PARA,15,PA,PARA,-5.7423938,-48.3185533,"-5.7423938,-48.3185533",7589
1505502,PARAGOMINAS,15,PA,PARA,-2.9956400,-47.3548942,"-2.99564,-47.3548942",113145
1505536,PARAUAPEBAS,15,PA,PARA,-6.0696846,-49.8903283,"-6.0696846,-49.8903283",208273
1505551,PAU D'ARCO,15,PA,PARA,-7.8331153,-50.0404438,"-7.8331153,-50.0404438",5483
1505601,PEIXE-BOI,15,PA,PARA,-1.1938240,-47.3240310,"-1.193824,-47.324031",8077
1505635,PICARRA,15,PA,PARA,-6.4475822,-48.8633795,"-6.4475822,-48.8633795",12981
1505650,PLACAS,15,PA,PARA,-3.9971440,-49.5104765,"-3.997144,-49.5104765",30982
