data,id_ibge,cidade,gps,latitude,longitude,confirmado,suspeitos,obitos,populacao,recuperados
2020-05-20,2311108,PORTEIRAS,"-7.5341572,-39.1153149",-7.5341572,-39.115314899999994,3,1,1,14996,1
2020-05-20,2311207,POTENGI,"-7.0915205,-40.0268241",-7.091520500000001,-40.026824100000006,13,1,0,11045,2
2020-05-20,2311959,SALITRE,"-7.285445,-40.457306",-7.285444999999999,-40.457306,5,1,1,16554,1
2020-05-20,2312106,SANTANA DO CARIRI,"-7.1861693,-39.7374262",-7.1861692999999995,-39.7374262,26,2,0,17700,11
2020-05-20,2313252,TARRAFAS,"-6.6819901,-39.7575709",-6.6819901,-39.7575709,3,3,0,8592,2
2020-05-20,2314003,VARZEA ALEGRE,"-6.7936089,-39.2989333",-6.793608900000001,-39.2989333,81,10,1,40721,17
2020-05-21,2300101,ABAIARA,"-7.3607808,-39.0487878",-7.360780800000001,-39.0487878,6,3,0,11737,2
2020-05-21,2300606,ALTANEIRA,"-6.9980933,-39.7385742",-6.998093300000001,-39.7385742,1,1,0,7586,0
2020-05-21,2300804,ANTONINA DO NORTE,"-6.7754187,-39.9879345",-6.7754187,-39.987934499999994,5,2,0,7353,2
2020-05-21,2301307,ARARIPE,"-7.212861,-40.1359222",-7.212861,-40.1359222,4,3,0,21600,2
2020-05-21,2301604,ASSARE,"-6.8746791,-39.8741385",-6.8746791,-39.8741385,15,2,1,23417,1
2020-05-21,2301703,AURORA,"-6.9426019,-38.9693765",-6.9426019,-38.9693765,8,3,1,24654,3
2020-05-21,2301901,BARBALHA,"-7.3121067,-39.3036427",-7.312106699999999,-39.303642700000005,85,98,2,59732,36
2020-05-21,2302008,BARRO,"-7.1713587,-38.7742136",-7.1713587,-38.7742136,7,0,0,22680,3
2020-05-21,2302503,BREJO SANTO,"-7.4909841,-38.9859152",-7.4909841,-38.9859152,55,36,3,49477,15
2020-05-21,2302701,CAMPOS SALES,"-7.0742675,-40.3740367",-7.0742675,-40.374036700000005,44,5,0,27426,29
